,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
20,inf,inf,29.53,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.56,28.55,23.78,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.39,inf,inf,inf,inf,inf,inf,21.83,inf,inf,inf,inf,inf,24.89,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.05,23.89,inf,inf,inf,inf,inf,20.03,inf,inf,inf,30.47,25.39,inf,inf,inf,inf,inf
21,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.94,29.9,25.14,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.77,inf,inf,inf,inf,inf,inf,23.2,inf,inf,inf,inf,inf,26.27,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.42,25.25,inf,inf,inf,inf,inf,21.39,inf,inf,inf,inf,26.75,inf,inf,inf,inf,inf
22,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.94,29.9,25.14,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.77,inf,inf,inf,inf,inf,inf,23.2,inf,inf,inf,inf,inf,26.28,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.44,25.27,inf,inf,inf,inf,inf,21.4,inf,inf,inf,inf,26.77,inf,inf,inf,inf,inf
23,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.77,29.75,24.98,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.6,inf,inf,inf,inf,inf,inf,23.03,inf,inf,inf,inf,inf,26.11,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.27,25.1,inf,inf,inf,inf,inf,20.58,inf,inf,inf,inf,26.6,inf,inf,inf,inf,inf
24,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,30.45,28.47,26.66,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.33,inf,inf,inf,inf,inf,inf,24.17,inf,inf,inf,inf,inf,27.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.95,23.81,inf,inf,inf,inf,inf,19.14,inf,inf,inf,30.4,25.31,inf,inf,inf,inf,inf
25,inf,inf,inf,inf,inf,inf,inf,30.42,inf,inf,inf,inf,28.86,27.17,25.08,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22.02,inf,inf,inf,inf,inf,inf,22.86,inf,inf,inf,inf,inf,26.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.36,22.53,inf,inf,inf,inf,inf,16.78,inf,inf,inf,29.1,24.02,inf,inf,inf,inf,inf
26,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.02,27.08,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.86,inf,inf,inf,inf,inf,inf,24.69,inf,inf,inf,inf,inf,28.22,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,30.38,24.36,inf,inf,inf,inf,inf,19.56,inf,inf,inf,inf,25.86,inf,inf,inf,inf,inf
27,inf,inf,inf,inf,inf,inf,inf,29.45,inf,inf,inf,inf,27.23,25.02,27.39,inf,inf,27.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,30.1,inf,inf,inf,inf,inf,inf,18.28,inf,inf,inf,inf,inf,inf,20.7,inf,inf,inf,inf,inf,28.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,20.36,inf,inf,inf,inf,inf,23.84,inf,inf,inf,25.36,20.28,inf,inf,inf,inf,inf
28,inf,inf,inf,inf,inf,inf,inf,30.19,inf,inf,inf,inf,27.97,25.75,28.12,inf,inf,27.88,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,18.4,inf,inf,inf,inf,inf,inf,21.44,inf,inf,inf,inf,inf,29.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,21.11,inf,inf,inf,inf,inf,24.58,inf,inf,inf,25.48,20.39,inf,inf,inf,inf,inf
29,inf,inf,inf,inf,inf,inf,inf,30.39,inf,inf,inf,inf,28.17,25.94,28.31,inf,inf,28.61,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,19.14,inf,inf,inf,inf,inf,inf,21.62,inf,inf,inf,inf,inf,29.42,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,21.28,inf,inf,inf,inf,inf,24.78,inf,inf,inf,26.22,21.16,inf,inf,inf,inf,inf
30,inf,inf,inf,inf,inf,inf,inf,29.78,inf,inf,inf,inf,27.55,25.33,27.7,inf,inf,27.06,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,30.4,inf,inf,inf,inf,inf,inf,17.6,inf,inf,inf,inf,inf,inf,21.02,inf,inf,inf,inf,inf,28.81,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,20.67,inf,inf,inf,inf,inf,24.16,inf,inf,inf,24.67,19.6,inf,inf,inf,inf,inf
31,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.31,26.1,28.47,inf,inf,27.83,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,18.38,inf,inf,inf,inf,inf,inf,21.8,inf,inf,inf,inf,inf,29.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,21.44,inf,inf,inf,inf,inf,24.94,inf,inf,inf,25.45,20.36,inf,inf,inf,inf,inf
32,inf,inf,inf,inf,inf,inf,inf,29.75,inf,inf,inf,inf,27.52,25.3,27.67,inf,inf,27.02,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,30.39,inf,inf,inf,inf,inf,inf,17.56,inf,inf,inf,inf,inf,inf,20.98,inf,inf,inf,inf,inf,28.78,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,20.64,inf,inf,inf,inf,inf,24.14,inf,inf,inf,24.64,19.56,inf,inf,inf,inf,inf
33,inf,inf,inf,inf,inf,inf,inf,27.67,inf,inf,inf,inf,25.45,23.22,25.6,inf,inf,26.73,inf,inf,inf,inf,28.77,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.31,inf,inf,inf,inf,inf,inf,17.27,inf,inf,inf,inf,inf,inf,18.92,inf,inf,inf,inf,inf,26.73,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.92,18.56,inf,inf,inf,inf,30.25,22.06,inf,inf,inf,24.34,19.27,inf,inf,inf,inf,inf
34,inf,inf,inf,inf,inf,inf,inf,29.17,inf,inf,inf,inf,26.95,24.73,25.75,inf,inf,28.23,inf,inf,inf,inf,30.27,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.83,inf,inf,inf,inf,inf,inf,18.78,inf,inf,inf,inf,inf,inf,20.42,inf,inf,inf,inf,inf,26.88,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.03,20.08,inf,inf,inf,inf,inf,23.38,inf,inf,inf,25.86,20.77,inf,inf,inf,inf,inf
